,country,date,cases
42291,China,1/1/21,102649
42292,China,1/1/22,128132
42293,China,1/1/23,4612203
42294,China,1/10/21,103754
42295,China,1/10/22,130213
42296,China,1/10/23,4818146
42297,China,1/11/21,103895
42298,China,1/11/22,130497
42299,China,1/11/23,4827425
42300,China,1/12/21,104146
42301,China,1/12/22,130737
42302,China,1/12/23,4836767
42303,China,1/13/21,104322
42304,China,1/13/22,130977
42305,China,1/13/23,4845027
42306,China,1/14/21,104563
42307,China,1/14/22,131184
42308,China,1/14/23,4852776
42309,China,1/15/21,104777
42310,China,1/15/22,131327
42311,China,1/15/23,4859037
42312,China,1/16/21,104995
42313,China,1/16/22,131601
42314,China,1/16/23,4863690
42315,China,1/17/21,105246
42316,China,1/17/22,131796
42317,China,1/17/23,4867556
42318,China,1/18/21,105525
42319,China,1/18/22,131928
42320,China,1/18/23,4871355
42321,China,1/19/21,105715
42322,China,1/19/22,132043
42323,China,1/19/23,4875374
42324,China,1/2/21,102731
42325,China,1/2/22,128259
42326,China,1/2/23,4637347
42327,China,1/20/21,105955
42328,China,1/20/22,132148
42329,China,1/20/23,4879169
42330,China,1/21/21,106193
42331,China,1/21/22,132264
42332,China,1/21/23,4882683
42333,China,1/22/20,548
42334,China,1/22/21,106453
42335,China,1/22/22,132383
42336,China,1/22/23,4885426
42337,China,1/23/20,643
42338,China,1/23/21,106683
42339,China,1/23/22,132597
42340,China,1/23/23,4887702
42341,China,1/24/20,920
42342,China,1/24/21,106954
42343,China,1/24/22,132772
42344,China,1/24/23,4889691
42345,China,1/25/20,1406
42346,China,1/25/21,107069
42347,China,1/25/22,132978
42348,China,1/25/23,4891987
42349,China,1/26/20,2075
42350,China,1/26/21,107230
42351,China,1/26/22,133209
42352,China,1/26/23,4894391
42353,China,1/27/20,2877
42354,China,1/27/21,107402
42355,China,1/27/22,133484
42356,China,1/27/23,4896727
42357,China,1/28/20,5509
42358,China,1/28/21,107510
42359,China,1/28/22,133709
42360,China,1/28/23,4900210
42361,China,1/29/20,6087
42362,China,1/29/21,107642
42363,China,1/29/22,133939
42364,China,1/29/23,4903495
42365,China,1/3/21,102808
42366,China,1/3/22,128596
42367,China,1/3/23,4661332
42368,China,1/30/20,8141
42369,China,1/30/21,107771
42370,China,1/30/22,134139
42371,China,1/30/23,4903496
42372,China,1/31/20,9802
42373,China,1/31/21,107827
42374,China,1/31/22,134345
42375,China,1/31/23,4903497
42376,China,1/4/21,102930
42377,China,1/4/22,128771
42378,China,1/4/23,4687167
42379,China,1/5/21,103026
42380,China,1/5/22,129064
42381,China,1/5/23,4715239
42382,China,1/6/21,103170
42383,China,1/6/22,129280
42384,China,1/6/23,4745734
42385,China,1/7/21,103331
42386,China,1/7/22,129491
42387,China,1/7/23,4768765
42388,China,1/8/21,103461
42389,China,1/8/22,129738
42390,China,1/8/23,4797126
42391,China,1/9/21,103626
42392,China,1/9/22,129959
42393,China,1/9/23,4808767
42394,China,10/1/20,95568
42395,China,10/1/21,119790
42396,China,10/1/22,2762150
42397,China,10/10/20,95979
42398,China,10/10/21,120169
42399,China,10/10/22,2811879
42400,China,10/11/20,96034
42401,China,10/11/21,120195
42402,China,10/11/22,2820009
42403,China,10/12/20,96083
42404,China,10/12/21,120234
42405,China,10/12/22,2825166
42406,China,10/13/20,96124
42407,China,10/13/21,120278
42408,China,10/13/22,2832279
42409,China,10/14/20,96146
42410,China,10/14/21,120304
42411,China,10/14/22,2838844
42412,China,10/15/20,96203
42413,China,10/15/21,120349
42414,China,10/15/22,2845461
42415,China,10/16/20,96231
42416,China,10/16/21,120389
42417,China,10/16/22,2852031
42418,China,10/17/20,96271
42419,China,10/17/21,120426
42420,China,10/17/22,2858293
42421,China,10/18/20,96322
42422,China,10/18/21,120460
42423,China,10/18/22,2864168
42424,China,10/19/20,96389
42425,China,10/19/21,120507
42426,China,10/19/22,2870228
42427,China,10/2/20,95617
42428,China,10/2/21,119832
42429,China,10/2/22,2766475
42430,China,10/20/20,96427
42431,China,10/20/21,120550
42432,China,10/20/22,2876602
42433,China,10/21/20,96461
42434,China,10/21/21,120629
42435,China,10/21/22,2882971
42436,China,10/22/20,96514
42437,China,10/22/21,120701
42438,China,10/22/22,2889897
42439,China,10/23/20,96557
42440,China,10/23/21,120765
42441,China,10/23/22,2896422
42442,China,10/24/20,96602
42443,China,10/24/21,120817
42444,China,10/24/22,2902917
42445,China,10/25/20,96643
42446,China,10/25/21,120872
42447,China,10/25/22,2909352
42448,China,10/26/20,96826
42449,China,10/26/21,120954
42450,China,10/26/22,2916167
42451,China,10/27/20,96921
42452,China,10/27/21,121015
42453,China,10/27/22,2923470
42454,China,10/28/20,96984
42455,China,10/28/21,121102
42456,China,10/28/22,2930381
42457,China,10/29/20,97004
42458,China,10/29/21,121200
42459,China,10/29/22,2937389
42460,China,10/3/20,95648
42461,China,10/3/21,119872
42462,China,10/3/22,2770859
42463,China,10/30/20,97097
42464,China,10/30/21,121292
42465,China,10/30/22,2944653
42466,China,10/31/20,97153
42467,China,10/31/21,121396
42468,China,10/31/22,2952291
42469,China,10/4/20,95694
42470,China,10/4/21,119916
42471,China,10/4/22,2775058
42472,China,10/5/20,95744
42473,China,10/5/21,119965
42474,China,10/5/22,2779780
42475,China,10/6/20,95789
42476,China,10/6/21,120007
42477,China,10/6/22,2785437
42478,China,10/7/20,95829
42479,China,10/7/21,120048
42480,China,10/7/22,2791596
42481,China,10/8/20,95875
42482,China,10/8/21,120081
42483,China,10/8/22,2799588
42484,China,10/9/20,95913
42485,China,10/9/21,120102
42486,China,10/9/22,2804912
42487,China,11/1/20,97250
42488,China,11/1/21,121477
42489,China,11/1/22,2959481
42490,China,11/10/20,97902
42491,China,11/10/21,122445
42492,China,11/10/22,3053673
42493,China,11/11/20,97948
42494,China,11/11/21,122563
42495,China,11/11/22,3070130
42496,China,11/12/20,97980
42497,China,11/12/21,122658
42498,China,11/12/22,3100114
42499,China,11/13/20,98018
42500,China,11/13/21,122750
42501,China,11/13/22,3108324
42502,China,11/14/20,98045
42503,China,11/14/21,122826
42504,China,11/14/22,3129859
42505,China,11/15/20,98069
42506,China,11/15/21,122855
42507,China,11/15/22,3153405
42508,China,11/16/20,98104
42509,China,11/16/21,122895
42510,China,11/16/22,3200035
42511,China,11/17/20,98126
42512,China,11/17/21,122946
42513,China,11/17/22,3210359
42514,China,11/18/20,98150
42515,China,11/18/21,122994
42516,China,11/18/22,3242270
42517,China,11/19/20,98185
42518,China,11/19/21,123041
42519,China,11/19/22,3295792
42520,China,11/2/20,97333
42521,China,11/2/21,121593
42522,China,11/2/22,2967572
42523,China,11/20/20,98240
42524,China,11/20/21,123076
42525,China,11/20/22,3329533
42526,China,11/21/20,98318
42527,China,11/21/21,123123
42528,China,11/21/22,3364415
42529,China,11/22/20,98407
42530,China,11/22/21,123169
42531,China,11/22/22,3373507
42532,China,11/23/20,98511
42533,China,11/23/21,123212
42534,China,11/23/22,3437108
42535,China,11/24/20,98598
42536,China,11/24/21,123252
42537,China,11/24/22,3449676
42538,China,11/25/20,98709
42539,China,11/25/21,123293
42540,China,11/25/22,3490482
42541,China,11/26/20,98796
42542,China,11/26/21,123339
42543,China,11/26/22,3533755
42544,China,11/27/20,98902
42545,China,11/27/21,123376
42546,China,11/27/22,3580291
42547,China,11/28/20,99000
42548,China,11/28/21,123441
42549,China,11/28/22,3627131
42550,China,11/29/20,99142
42551,China,11/29/21,123501
42552,China,11/29/22,3705990
42553,China,11/3/20,97411
42554,China,11/3/21,121714
42555,China,11/3/22,2976228
42556,China,11/30/20,99245
42557,China,11/30/21,123638
42558,China,11/30/22,3719252
42559,China,11/4/20,97565
42560,China,11/4/21,121827
42561,China,11/4/22,2984649
42562,China,11/5/20,97622
42563,China,11/5/21,121925
42564,China,11/5/22,2997306
42565,China,11/6/20,97684
42566,China,11/6/21,122022
42567,China,11/6/22,3002843
42568,China,11/7/20,97740
42569,China,11/7/21,122141
42570,China,11/7/22,3013968
42571,China,11/8/20,97816
